,dia_semana,costo_servicio,tiempo_servicio_min,demanda_diaria,usuarios_diarios,capacidad_maxima_diaria,es_finde
dia_semana,1.0,-0.0018871524722286408,-0.0038623830618102818,-0.25069954122917504,-0.24444345811726154,-0.24919023617695982,0.5496605808480913
costo_servicio,-0.0018871524722286408,1.0,0.43074968513188405,0.000565978297632567,0.0006517064383432831,0.0005364687113509763,-0.0016986922277342305
tiempo_servicio_min,-0.0038623830618102818,0.43074968513188405,1.0,-0.003807134598433263,-0.003191475589116104,-0.004033870791997612,-0.001958669864636806
demanda_diaria,-0.25069954122917504,0.000565978297632567,-0.003807134598433263,1.0,0.9849872869877844,0.9952371805524096,-0.44890651986352087
usuarios_diarios,-0.24444345811726154,0.0006517064383432831,-0.003191475589116104,0.9849872869877844,1.0,0.9804440397128515,-0.4397043993455953
capacidad_maxima_diaria,-0.24919023617695982,0.0005364687113509763,-0.004033870791997612,0.9952371805524096,0.9804440397128515,1.0,-0.4467675813074093
es_finde,0.5496605808480913,-0.0016986922277342305,-0.001958669864636806,-0.44890651986352087,-0.4397043993455953,-0.4467675813074093,1.0
